,id,title,concepts,countries_distinct_count,institutions_distinct_count,grants,keywords,open_access,primary_topic,sustainable_development_goals
11,https://openalex.org/W4390548387,Prophylaxis and management of graft-versus-host disease after stem-cell transplantation for haematological malignancies: updated consensus recommendations of the European Society for Blood and Marrow Transplantation,"Medicine,Transplantation,Graft-versus-host disease,Intensive care medicine,Stem cell,Disease,Hematology,Bone transplantation,Hematopoietic stem cell transplantation,Immunology,Internal medicine,Surgery,Genetics,Biology",15,33,Deutsche Forschungsgemeinschaft,"Hematology,Bone transplantation",closed,Hematopoietic Stem Cell Transplantation,Good health and well-being
12,https://openalex.org/W4353015179,Understanding metric-related pitfalls in image analysis validation,"Computer science,Data science,Multidisciplinary approach,Strengths and weaknesses,Bridging (networking),Metric (unit),Process (computing),Key (lock),Information retrieval,Artificial intelligence,Data mining,Psychology,Social psychology,Social science,Computer network,Operations management,Sociology,Economics,Operating system,Computer security",18,61,,Strengths and weaknesses,green,Radiomics and Machine Learning in Medical Imaging,Quality education
13,https://openalex.org/W4401108165,"Atrial Cardiomyopathy Revisited - Evolution of a Concept. A Clinical Consensus Statement of the European Heart Rhythm Association (EHRA) of the ESC, the Heart Rhythm Society (HRS), the Asian Pacific Heart Rhythm Association (APHRS), and the Latin American Heart Rhythm Society (LAHRS)","Heart Rhythm,Internal medicine,Rhythm,Cardiology,Medicine,Cardiomyopathy,Atrial fibrillation,Heart failure",16,47,,Heart Rhythm,hybrid,Atrial Fibrillation Management and Outcomes,Partnerships for the goals
14,https://openalex.org/W4390907984,An Updated Mass–Radius Analysis of the 2017–2018 NICER Data Set of PSR J0030+0451,"Physics,RADIUS,Astrophysics,Computer security,Computer science",4,12,European Commission,,bronze,Pulsars and Gravitational Waves Research,
15,https://openalex.org/W4401459269,A NICER View of the Nearest and Brightest Millisecond Pulsar: PSR J0437–4715,"Physics,Neutron star,Millisecond pulsar,RADIUS,Astrophysics,Algorithm,Computer science,Computer security",5,18,"National Aeronautics and Space Administration,Australian Research Council",,gold,Pulsars and Gravitational Waves Research,
16,https://openalex.org/W4391166148,Longitudinal trends in causes of death among adults with HIV on antiretroviral therapy in Europe and North America from 1996 to 2020: a collaboration of cohort studies,"Medicine,Antiretroviral therapy,Human immunodeficiency virus (HIV),Cohort study,Cohort,Demography,Gerontology,Environmental health,Family medicine,Viral load,Internal medicine,Sociology",11,39,"Wellcome Trust,National Institute for Health and Care Research,National Institute on Alcohol Abuse and Alcoholism",,hybrid,HIV/AIDS Research and Interventions,Good health and well-being
17,https://openalex.org/W4391092032,The planetary commons: A new paradigm for safeguarding Earth-regulating systems in the Anthropocene,"Anthropocene,Earth system science,Global commons,Commons,Planetary boundaries,Stewardship (theology),Resilience (materials science),Paradigm shift,Environmental resource management,Environmental ethics,Safeguarding,Sustainability,Political science,Geography,Astrobiology,Ecology,Environmental science,Law,Biology,Medicine,Philosophy,Physics,Nursing,Epistemology,Politics,Thermodynamics",9,22,,"Anthropocene,Earth system science,Global commons,Planetary boundaries,Stewardship,Resilience,Paradigm shift,Safeguarding",hybrid,Climate Change and Geoengineering,
18,https://openalex.org/W4402497171,"A just world on a safe planet: a Lancet Planetary Health–Earth Commission report on Earth-system boundaries, translations, and transformations","Earth (classical element),Astrobiology,Planet,Commission,Planetary boundaries,Geology,Political science,Astronomy,Physics,Law,Sustainable development",20,53,,Planetary boundaries,gold,Climate Change and Health Impacts,
19,https://openalex.org/W4392695348,Big AI: Cloud infrastructure dependence and the industrialisation of artificial intelligence,"Cloud computing,Big data,Industrialisation,Data science,Computer science,Artificial intelligence,Computer security,Sociology,Political science,Data mining,Law,Operating system",1,3,"Deutsche Forschungsgemeinschaft,Nederlandse Organisatie voor Wetenschappelijk Onderzoek",Industrialisation,gold,Blockchain Technology Applications and Security,"Industry, innovation and infrastructure,Partnerships for the goals"
20,https://openalex.org/W4400776379,The impact of population ageing on the burden of chronic kidney disease,"Medicine,Polypharmacy,Kidney disease,Psychological intervention,Population ageing,Quality of life (healthcare),Intensive care medicine,Population,Disease burden,Disease,Palliative care,Multidisciplinary approach,Health care,Gerontology,Environmental health,Psychiatry,Internal medicine,Nursing,Economic growth,Social science,Sociology,Economics",4,6,,Population Ageing,closed,Dialysis and Renal Disease Management,
21,https://openalex.org/W4390571745,Artificial intelligence: revolutionizing cardiology with large language models,"Medicine,Natural history,Identification (biology),Medical physics,Intensive care medicine,Internal medicine,Biology,Botany",3,4,,Identification,hybrid,Artificial Intelligence in Healthcare and Education,Quality education
22,https://openalex.org/W4396520192,"Comparing advanced hybrid closed loop therapy and standard insulin therapy in pregnant women with type 1 diabetes (CRISTAL): a parallel-group, open-label, randomised controlled trial","Medicine,Randomized controlled trial,Pregnancy,Diabetes mellitus,Type 2 diabetes,Insulin,Type 1 diabetes,Pediatrics,Internal medicine,Physical therapy,Endocrinology,Genetics,Biology",2,13,"Medtronic,Koning Boudewijnstichting",,closed,Diabetes Management and Research,Good health and well-being
23,https://openalex.org/W4399174757,The Fourth Global Coral Bleaching Event: Where do we go from here?,"Coral,Coral bleaching,Coral reef,Oceanography,Reef,Event (particle physics),Great barrier reef,Geography,Fishery,Indian ocean,Environmental science,Biology,Geology,Physics,Quantum mechanics",10,20,Universität Konstanz,Coral bleaching,hybrid,Coral and Marine Ecosystems Studies,Life below water
24,https://openalex.org/W4392705683,Groundwater recharge is sensitive to changing long-term aridity,"Groundwater recharge,Depression-focused recharge,Evapotranspiration,Environmental science,Groundwater,Climate change,Hydrology (agriculture),Arid,Precipitation,Aridity index,Aquifer,Geology,Ecology,Geography,Meteorology,Paleontology,Geotechnical engineering,Oceanography,Biology",5,8,,"Depression-focused recharge,Aridity index",closed,Groundwater and Isotope Geochemistry,
25,https://openalex.org/W4396929578,Decompressive craniectomy plus best medical treatment versus best medical treatment alone for spontaneous severe deep supratentorial intracerebral haemorrhage: a randomised controlled clinical trial,"Decompressive craniectomy,Medicine,Surgery,Intracerebral hemorrhage,Anesthesia,Traumatic brain injury,Glasgow Coma Scale,Psychiatry",10,42,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Decompressive craniectomy,green,Intracerebral and Subarachnoid Hemorrhage Research,Good health and well-being
26,https://openalex.org/W4392850494,Realizing the full potential of behavioural science for climate change mitigation,"Climate change,Climate change mitigation,Climate science,Environmental science,Environmental resource management,Environmental planning,Climatology,Natural resource economics,Economics,Geology,Oceanography",7,12,"AgBioResearch, Michigan State University,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Carlsbergfondet,Bundesamt für Energie",Climate science,green,Environmental Education and Sustainability,Climate action
27,https://openalex.org/W4391431090,Central serous chorioretinopathy: An evidence-based treatment guideline,"Guideline,Serous fluid,Medicine,Ophthalmology,Internal medicine,Pathology",12,41,"Universiteit Leiden,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Oogfonds,Algemene Nederlandse Vereniging ter voorkoming van Blindheid,Stichting Retina Fonds,Stichting voor Ooglijders,Rotterdamse Stichting Blindenbelangen,Stichting Blinden-Penning,Stichting Blindenhulp",Guideline,hybrid,Retinal Diseases and Treatments,Good health and well-being
28,https://openalex.org/W1606751908,Local Lipschitz Continuity in the Initial Value and Strong Completeness for Nonlinear Stochastic Differential Equations,"Lipschitz continuity,Completeness (order theory),Nonlinear system,Mathematics,Initial value problem,Mathematical analysis,Stochastic differential equation,Applied mathematics,Physics,Quantum mechanics",2,3,,Completeness (order theory),green,Stability and Controllability of Differential Equations,
29,https://openalex.org/W4390743458,A beginner's guide to study extracellular vesicles in human blood plasma and serum,"Extracellular vesicles,Extracellular vesicle,Microvesicles,Terminology,Vesicle,Trustworthiness,Extracellular fluid,Extracellular,Human blood,Computational biology,Medicine,Computer science,Chemistry,Biology,Physiology,Cell biology,Biochemistry,Gene,microRNA,Computer security,Linguistics,Philosophy,Membrane",2,3,,"Extracellular Vesicles,Extracellular vesicles,Trustworthiness,Human blood",gold,Extracellular vesicles in disease,
30,https://openalex.org/W4392429108,Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT,"Medicine,Transplantation,Haematopoiesis,Myeloid,Internal medicine,Hematopoietic cell,Hematopoietic stem cell transplantation,Cord blood,Oncology,Immunology,Stem cell,Biology,Genetics",9,16,,Cord blood,hybrid,CAR-T cell therapy research,
31,https://openalex.org/W4393043603,Heritable microbiome variation is correlated with source environment in locally adapted maize varieties,"Rhizosphere,Microbiome,Biology,Host (biology),Abundance (ecology),Biomass (ecology),Genetic variation,Ecology,Genetics,Bacteria,Gene",6,10,"Deutsche Forschungsgemeinschaft,Agricultural Research Service,National Natural Science Foundation of China-Yunnan Joint Fund",,green,Plant-Microbe Interactions and Immunity,Zero hunger
32,https://openalex.org/W4399574562,NICER-SLAM: Neural Implicit Scene Encoding for RGB SLAM,"Encoding (memory),Computer science,Artificial intelligence,Computer vision,RGB color model,Simultaneous localization and mapping,Robot,Mobile robot",5,5,,RGB color model,green,Robotics and Sensor-Based Localization,
33,https://openalex.org/W4399718312,ECCO Guidelines on Therapeutics in Crohn’s Disease: Surgical Treatment,"Medicine,Crohn's disease,Disease,General surgery,Intensive care medicine,Internal medicine",20,44,,,hybrid,Inflammatory Bowel Disease,Good health and well-being
34,https://openalex.org/W4391303884,Perioperative management of long-acting glucagon-like peptide-1 (GLP-1) receptor agonists: concerns for delayed gastric emptying and pulmonary aspiration,"Gastric emptying,Glucagon-like peptide-1,Pulmonary aspiration,Medicine,Glucagon-like peptide 1 receptor,Receptor,Perioperative,Glucagon,Internal medicine,Endocrinology,Anesthesia,Agonist,Stomach,Hormone,Diabetes mellitus,Type 2 diabetes",2,5,"Horizon 2020,H2020 Marie Skłodowska-Curie Actions",Pulmonary aspiration,closed,Diabetes Treatment and Management,Zero hunger
35,https://openalex.org/W4392112563,Reframing sepsis immunobiology for translation: towards informative subtyping and targeted immunomodulatory therapies,"Sepsis,Medicine,Cognitive reframing,Immunology,Disease,Immune system,Psychology,Social psychology,Pathology",10,23,"National Institute for Health and Care Research,Chief Scientist Office, Scottish Government Health and Social Care Directorate",,green,Sepsis Diagnosis and Treatment,
36,https://openalex.org/W4400831169,Majority of global river flow sustained by groundwater,"Groundwater,Hydrology (agriculture),Groundwater flow,Streamflow,Geology,Flow (mathematics),Environmental science,Water resource management,Aquifer,Geography,Drainage basin,Geotechnical engineering,Mathematics,Cartography,Geometry",4,5,,,closed,Hydrology and Watershed Management Studies,
37,https://openalex.org/W4392456524,"An integrative, multiscale view on neural theories of consciousness","Consciousness,Variety (cybernetics),Cognitive science,Isolation (microbiology),Epistemology,Psychology,Sociology,Cognitive psychology,Computer science,Artificial intelligence,Neuroscience,Philosophy,Biology,Microbiology",10,23,FP7 Coordination of Research Activities,Isolation,hybrid,Neural dynamics and brain function,Reduced inequalities
38,https://openalex.org/W4390909233,Behavioural interventions to reduce vaccine hesitancy driven by misinformation on social media,"Misinformation,Measles,Vaccination,Social media,Psychological intervention,Public health,Population,Medicine,Public health interventions,Measles vaccine,Environmental health,Public relations,Internet privacy,Political science,Immunology,Computer science,Psychiatry,Nursing,Law",7,8,,"Misinformation,Public Health Interventions",hybrid,Misinformation and Its Impacts,Good health and well-being
39,https://openalex.org/W4390706100,Durable response after tisagenlecleucel in adults with relapsed/refractory follicular lymphoma: ELARA trial update,"Follicular lymphoma,Medicine,Refractory (planetary science),Oncology,Internal medicine,Lymphoma,Biology,Astrobiology",14,50,,"Follicular lymphoma,Refractory (planetary science)",hybrid,CAR-T cell therapy research,Good health and well-being
40,https://openalex.org/W4391597413,Time to Treatment With Intravenous Thrombolysis Before Thrombectomy and Functional Outcomes in Acute Ischemic Stroke,"Medicine,Thrombolysis,Ischemic stroke,Stroke (engine),Acute stroke,Cardiology,Internal medicine,Anesthesia,Ischemia,Tissue plasminogen activator,Myocardial infarction,Mechanical engineering,Engineering",7,27,,"Stroke,Acute stroke",green,Acute Ischemic Stroke Management,Good health and well-being
41,https://openalex.org/W4403101474,Temporomandibular disorders: INfORM/IADR key points for good clinical practice based on standard of care,"Key (lock),Clinical Practice,Medicine,Dentistry,Psychology,Nursing,Computer science,Computer security",13,25,,Clinical Practice,closed,Temporomandibular Joint Disorders,
42,https://openalex.org/W4390843057,EPOS2020/EUFOREA expert opinion on defining disease states and therapeutic goals in CRSwNP,"Medicine,Expert opinion,Chronic rhinosinusitis,Quality of life (healthcare),Exacerbation,Nasal polyps,Disease,Intensive care medicine,Disease management,Family medicine,Physical therapy,Immunology,Pathology,Nursing,Parkinson's disease",10,27,,"Expert opinion,Chronic Rhinosinusitis,Nasal Polyps,Disease management",closed,Sinusitis and nasal conditions,
43,https://openalex.org/W4391067408,Dual phosphorylation of DGK5-mediated PA burst regulates ROS in plant immunity,"Biology,Plant Immunity,NADPH oxidase,Cell biology,Arabidopsis,Diacylglycerol kinase,Phosphorylation,Reactive oxygen species,Second messenger system,Innate immune system,Immunity,Kinase,Signal transduction,Phosphatidic acid,Biochemistry,Immune system,Protein kinase C,Receptor,Immunology,Gene,Mutant,Phospholipid,Membrane",2,4,"National Science Foundation,National Science Foundation,National Science Foundation,National Institutes of Health,National Institutes of Health","Plant Immunity,Second messenger system",hybrid,Plant-Microbe Interactions and Immunity,Zero hunger
44,https://openalex.org/W4393180863,mTOR and neuroinflammation in epilepsy: implications for disease progression and treatment,"Epileptogenesis,Epilepsy,Neuroinflammation,PI3K/AKT/mTOR pathway,Neuroscience,Medicine,Disease,Status epilepticus,Bioinformatics,Psychology,Signal transduction,Biology,Pathology,Biochemistry",2,4,,,closed,Epilepsy research and treatment,Good health and well-being
45,https://openalex.org/W4395461131,"The Definition, Acronyms, Nomenclature, and Classification of Angioedema: AAAAI, ACAAI, ACARE, and APAACI DANCE Consensus","Nomenclature,Taxonomy (biology),Biology,Zoology",37,95,,,closed,"Coagulation, Bradykinin, Polyphosphates, and Angioedema",
46,https://openalex.org/W4402138162,Temporary mechanical circulatory support in infarct-related cardiogenic shock: an individual patient data meta-analysis of randomised trials with 6-month follow-up,"Cardiogenic shock,Medicine,Meta-analysis,Circulatory system,Myocardial infarction,Shock (circulatory),Randomized controlled trial,Cardiology,Internal medicine,Patient data,Computer science,Database",6,24,,Patient data,closed,Mechanical Circulatory Support Devices,
47,https://openalex.org/W4404046992,Periodontal disease: A systemic condition,"Periodontitis,Medicine,Disease,Systemic disease,Systemic inflammation,Rheumatoid arthritis,Diabetes mellitus,Risk factor,Causality (physics),Immunology,Intensive care medicine,Inflammation,Internal medicine,Physics,Quantum mechanics,Endocrinology",3,6,,Causality,hybrid,Oral microbiology and periodontitis research,Good health and well-being
48,https://openalex.org/W4392554505,"272nd ENMC international workshop: 10 Years of progress - revision of the ENMC 2013 diagnostic criteria for inclusion body myositis and clinical trial readiness. 16–18 June 2023, Hoofddorp, The Netherlands","Medicine,Inclusion body myositis,Clinical trial,Physical therapy,Myositis,Medical physics,Pathology",4,11,,Inclusion body myositis,closed,Inflammatory Myopathies and Dermatomyositis,Reduced inequalities
49,https://openalex.org/W4402330712,The EU Artificial Intelligence Act (2024): Implications for healthcare,"Health care,Political science,Business,Law",1,3,,,hybrid,Artificial Intelligence in Healthcare and Education,
50,https://openalex.org/W4391779256,Performance of ChatGPT as an AI-assisted decision support tool in medicine: a proof-of-concept study for interpreting symptoms and management of common cardiac conditions (AMSTELHEART-2),"Medicine,Proof of concept,Decision support system,Intensive care medicine,Artificial intelligence,Computer science,Operating system",1,3,,Proof of concept,hybrid,Blood Pressure and Hypertension Studies,"Peace, justice, and strong institutions"
51,https://openalex.org/W4392952070,The 'middle-aging' brain,"Psychology,Neuroscience",2,5,Science Foundation Ireland,,hybrid,Diet and metabolism studies,
52,https://openalex.org/W4401430741,Challenges and Future Perspectives in Photocatalysis: Conclusions from an Interdisciplinary Workshop,"Photocatalysis,Engineering ethics,Political science,Psychology,Engineering,Chemistry,Biochemistry,Catalysis",4,12,"Shimadzu,Koninklijke Nederlandse Chemische Vereniging,Lorentz Center",,gold,Radical Photochemical Reactions,
53,https://openalex.org/W4392553504,Does Alternative Data Improve Financial Forecasting? The Horizon Effect,"Horizon,Econometrics,Economics,Finance,Mathematics,Geometry",8,11,European Research Council,,hybrid,Financial Markets and Investment Strategies,Decent work and economic growth
54,https://openalex.org/W4393898981,A Dynamical Systems View of Psychiatric Disorders—Theory,"Psychiatry,Psychology,Medicine",3,7,,,closed,Mental Health Research Topics,Climate action
55,https://openalex.org/W4396509781,From ICU Syndromes to ICU Subphenotypes: Consensus Report and Recommendations for Developing Precision Medicine in the ICU,"Medicine,Intensive care medicine,Precision medicine,Clinical trial,MEDLINE,Intensive care,Acute respiratory distress,Sepsis,Clinical Practice,Pathology,Physical therapy,Internal medicine,Lung,Political science,Law",11,34,,Clinical Practice,hybrid,Sepsis Diagnosis and Treatment,Partnerships for the goals
56,https://openalex.org/W4400200363,A manifesto for reproducible science.,"Manifesto,Computer science,Political science,Law",3,14,,Manifesto,green,Interdisciplinary Research and Collaboration,
57,https://openalex.org/W4400692075,A novel tool for arrhythmic risk stratification in desmoplakin gene variant carriers,"Medicine,Internal medicine,Hazard ratio,Desmoplakin,Interquartile range,Cardiology,Cardiomyopathy,Cohort,Population,Ventricular tachycardia,Confidence interval,Heart failure,Genetics,Environmental health,Biology,Cell",9,43,"British Heart Foundation,British Heart Foundation,Sir Jules Thorn Charitable Trust,Rosetrees Trust,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,ZonMw,Hartstichting,Schweizerische Herzstiftung,Schweizerische Herzstiftung,Medical Research Council Canada,Baugarten Stiftung,Georg und Bertha Schwyzer-Winiker-Stiftung,National Institutes of Health,National Institutes of Health,NIHR Imperial Biomedical Research Centre,National Heart, Lung, and Blood Institute,National Heart, Lung, and Blood Institute","Desmoplakin,Interquartile range",hybrid,Cardiovascular Effects of Exercise,Good health and well-being
58,https://openalex.org/W4394881644,Nonstandard Errors,Computer science,19,54,"Austrian Science Fund,Austrian Science Fund,Knut och Alice Wallenbergs Stiftelse,Riksbankens Jubileumsfond",,hybrid,Mathematical and Theoretical Analysis,
59,https://openalex.org/W4394947854,Laparoscopic Versus Open Hemihepatectomy: The ORANGE II PLUS Multicenter Randomized Controlled Trial,"Medicine,Surgery,Randomized controlled trial,Laparoscopic surgery,Laparoscopy",6,28,,,green,Pancreatic and Hepatic Oncology Research,
60,https://openalex.org/W4392462199,Polyester biodegradability: importance and potential for optimisation,"Biodegradation,Polyester,Renewable energy,Biochemical engineering,Fossil fuel,Waste management,Pollution,Environmental science,Chemistry,Engineering,Organic chemistry,Ecology,Biology,Electrical engineering",1,2,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,,hybrid,Microplastics and Plastic Pollution,"Industry, innovation and infrastructure"
61,https://openalex.org/W4391277932,Hydrogen bond unlocking-driven pore structure control for shifting multi-component gas separation function,"Hydrogen bond,Adsorption,Porosity,Diffusion,Ternary operation,Hydrogen,Crystal structure,Crystallography,Materials science,Gas separation,Chemistry,Chemical engineering,Molecule,Physical chemistry,Thermodynamics,Organic chemistry,Physics,Computer science,Engineering,Programming language,Biochemistry,Membrane",3,6,"National Natural Science Foundation of China,China Postdoctoral Science Foundation",,gold,Metal-Organic Frameworks: Synthesis and Applications,Clean water and sanitation
62,https://openalex.org/W4392159136,Lipid metabolism during pregnancy: consequences for mother and child,"Lipid metabolism,Pregnancy,Medicine,Obstetrics,Physiology,Endocrinology,Biology,Genetics",1,3,,,hybrid,"Diabetes, Cardiovascular Risks, and Lipoproteins",Good health and well-being
63,https://openalex.org/W4392984807,Non-reciprocal topological solitons in active metamaterials,"Bistability,Metamaterial,Reciprocal,Physics,Topology (electrical circuits),Reciprocity (cultural anthropology),Nonlinear system,Mechanism (biology),Quantum,Classical mechanics,Quantum mechanics,Mathematics,Philosophy,Linguistics,Combinatorics,Psychology,Social psychology",2,3,,"Bistability,Reciprocal,Reciprocity",closed,Nonlinear Photonic Systems,Climate action
64,https://openalex.org/W4401926094,Uses of Generative AI in the Newsroom: Mapping Journalists’ Perceptions of Perils and Possibilities,"Generative grammar,Journalism,Perception,Political science,Sociology,Citizen journalism,Media studies,Public relations,Psychology,Computer science,Artificial intelligence,Neuroscience,Law",2,2,,,hybrid,Computational and Text Analysis Methods,Reduced inequalities
65,https://openalex.org/W4403450889,Harnessing plasticity in sequential metamaterials for ideal shock absorption,"Ideal (ethics),Shock (circulatory),Metamaterial,Absorption (acoustics),Plasticity,Computer science,Physics,Optics,Philosophy,Epistemology,Medicine,Thermodynamics,Internal medicine",1,2,,,closed,Cellular and Composite Structures,
66,https://openalex.org/W4404636551,"First Indication of Solar <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi mathvariant=""normal"">B</mml:mi></mml:mrow><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>8</mml:mn></mml:mrow></mml:mmultiscripts></mml:mrow></mml:math> Neutrinos via Coherent Elastic Neutrino-Nucleus Scattering with XENONnT","Computer science,Algorithm,Physics",11,33,"National Science Foundation,Kavli Foundation,Istituto Nazionale di Fisica Nucleare Sezione di Padova,Deutsche Forschungsgemeinschaft,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Weizmann Institute of Science,United States-Israel Binational Science Foundation,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Ministero dell’Istruzione, dell’Università e della Ricerca,Knut och Alice Wallenbergs Stiftelse,Max-Planck-Gesellschaft,Helmholtz Association,Conseil Régional des Pays de la Loire,Tsinghua Initiative Scientific Research Program,Horizon 2020 Framework Programme,Japan Society for the Promotion of Science,Fundação para a Ciência e a Tecnologia,Japan Science and Technology Agency,H2020 Marie Skłodowska-Curie Actions",,hybrid,Dark Matter and Cosmic Phenomena,
67,https://openalex.org/W4394582072,"Management of patients with an electrical storm or clustered ventricular arrhythmias: a clinical consensus statement of the European Heart Rhythm Association of the ESC—endorsed by the Asia-Pacific Heart Rhythm Society, Heart Rhythm Society, and Latin-American Heart Rhythm Society","Medicine,Heart failure,Cardiology,Internal medicine,Heart Rhythm,Implantable cardioverter-defibrillator,Heart disease,Population,Rhythm,Intensive care medicine,Environmental health",19,46,,Heart Rhythm,hybrid,Cardiac electrophysiology and arrhythmias,Good health and well-being
68,https://openalex.org/W4396494989,Nightside clouds and disequilibrium chemistry on the hot Jupiter WASP-43b,"Hot Jupiter,Planet,Astrophysics,Atmosphere (unit),Photosphere,Physics,Exoplanet,Disequilibrium,Radiative transfer,Astrobiology,Atmospheric sciences,Jupiter (rocket family),Atmospheric models,Infrared,Spectral line,Astronomy,Meteorology,Medicine,Ophthalmology,Space Shuttle,Quantum mechanics",18,76,,"Hot Jupiter,Photosphere,Disequilibrium,Jupiter (rocket family),Atmospheric models",hybrid,"Stellar, planetary, and galactic studies",
